codigo_ibge,anomes_s,qtd_familias_beneficiarias_bolsa_familia_s,valor_repassado_bolsa_familia_s,pbf_vlr_medio_benef_f
251365,202406,487,323801.0,664.89
251370,202406,19534,13485926.0,690.38
251380,202406,1118,740759.0,662.58
251385,202406,488,319902.0,655.54
251390,202406,5849,4015621.0,686.78
251392,202406,806,546781.0,680.08
251394,202406,480,324773.0,676.61
251396,202406,517,352448.0,681.72
251398,202406,550,367649.0,668.45
251400,202406,890,592060.0,665.24
251410,202406,1027,689672.0,672.19
251420,202406,1630,1085829.0,666.15
251430,202406,1262,876522.0,695.1
251440,202406,778,529701.0,680.85
251445,202406,1300,885227.0,680.94
251450,202406,3826,2546101.0,667.04
251455,202406,703,487138.0,692.94
251460,202406,717,493438.0,688.2
251465,202406,374,243185.0,650.23
251470,202406,655,434473.0,663.32
251480,202406,717,482003.0,672.25
251490,202406,1389,948670.0,682.99
251500,202406,1739,1162240.0,669.11
251510,202406,1720,1172852.0,681.89
251520,202406,590,408165.0,691.81
251530,202406,12239,8224596.0,672.05
251540,202406,2502,1723562.0,688.87
251550,202406,2936,1977385.0,673.5
251560,202406,452,312741.0,691.9
251570,202406,644,432398.0,671.43
251580,202406,1694,1153952.0,681.2
251590,202406,1225,848181.0,692.39
251593,202406,720,501634.0,696.71
251597,202406,2059,1402542.0,681.84
251600,202406,4929,3418095.0,693.61
251610,202406,2541,1742647.0,685.81
251615,202406,971,665795.0,685.68
251620,202406,13950,9259390.0,664.14
251630,202406,3741,2480119.0,662.96
251640,202406,1847,1235714.0,669.04
251650,202406,3250,2240235.0,689.73
251660,202406,2980,2028365.0,680.66
251670,202406,3930,2680014.0,681.94
251675,202406,738,506060.0,685.72
251680,202406,1883,1263889.0,671.21
251690,202406,2493,1698249.0,681.21
251700,202406,1890,1294045.0,684.68
251710,202406,401,264236.0,658.94
251720,202406,878,574666.0,654.52
251740,202406,457,319568.0,699.27
260005,202406,18993,12615752.0,664.23
260010,202406,6583,4461923.0,678.1
260020,202406,4504,3019915.0,670.65
260030,202406,6308,4262374.0,675.82
260040,202406,5445,3684230.0,676.63
260050,202406,11818,8340596.0,705.99
260060,202406,2958,2022523.0,683.75
260070,202406,8503,5749472.0,676.17
260080,202406,5431,3609207.0,664.68
260090,202406,4158,2834430.0,681.68
260100,202406,2542,1730649.0,680.82
260105,202406,4208,2882565.0,685.35
260110,202406,17384,12101819.0,697.47
260120,202406,11945,8323224.0,697.32
260130,202406,2415,1636559.0,677.66
260140,202406,9336,6530785.0,699.83
260150,202406,2936,1968411.0,671.13
260160,202406,6077,4073910.0,670.93
260170,202406,14745,9915116.0,672.48
260180,202406,2921,1972907.0,676.12
260190,202406,15606,10186470.0,652.98
260200,202406,7960,5552163.0,697.77
260210,202406,8713,6054384.0,695.11
260220,202406,10111,6659749.0,658.73
260230,202406,9972,6867871.0,688.78
260240,202406,2199,1535189.0,698.13
260250,202406,1728,1160625.0,671.66
260260,202406,10456,7191635.0,688.79
260270,202406,3761,2508689.0,667.03
260280,202406,10483,7498719.0,715.73
260290,202406,31682,21443451.0,676.92
260300,202406,8790,5991169.0,681.59
260310,202406,4938,3338405.0,676.06
260320,202406,5788,4076516.0,704.3
260330,202406,1854,1293146.0,697.49
260340,202406,1667,1126467.0,675.75
260345,202406,20648,13812122.0,669.09
260350,202406,5045,3345472.0,663.26
260360,202406,1644,1129872.0,687.27
260370,202406,4451,3115350.0,700.08
260380,202406,3789,2639787.0,696.7
260390,202406,3133,2116297.0,675.92
260392,202406,4069,2859708.0,702.98
260400,202406,14905,9941754.0,667.41
260410,202406,48755,33358618.0,684.95
260415,202406,3824,2548822.0,666.53
260420,202406,9755,6520020.0,668.45
260430,202406,2043,1418560.0,694.69
260440,202406,3235,2170613.0,670.98
260450,202406,4624,3219609.0,696.28
260460,202406,4037,2761990.0,684.17
260470,202406,4074,2802640.0,687.93
260480,202406,2590,1737901.0,671.0
260490,202406,4747,3061622.0,644.96
260500,202406,4604,3112708.0,676.09
260510,202406,9060,6132364.0,677.01
260515,202406,2949,1967164.0,667.29
260520,202406,10839,7272140.0,670.92
260530,202406,8345,5743784.0,688.29
260540,202406,6769,4492144.0,663.73
260545,202406,50,35127.0,702.54
260550,202406,2065,1370147.0,663.51
260560,202406,4282,2872307.0,671.1
260570,202406,7707,5189299.0,673.32
260580,202406,4341,2843476.0,655.03
260590,202406,5399,3609957.0,668.76
260600,202406,23684,15927954.0,672.95
260610,202406,6516,4428968.0,679.71
260620,202406,16528,11041665.0,668.66
260630,202406,1756,1212706.0,690.61
260640,202406,18905,12421506.0,657.22
260650,202406,4279,2990840.0,699.12
260660,202406,5864,3999563.0,682.75
260670,202406,1586,1083306.0,683.04
260680,202406,20628,13801225.0,669.22
260690,202406,2465,1657264.0,672.32
260700,202406,7635,5259998.0,688.93
260710,202406,918,618217.0,673.44
260720,202406,19826,13389544.0,675.76
260730,202406,6975,4953611.0,710.2
260740,202406,1065,722878.0,678.76
260750,202406,6236,4307412.0,690.73
260760,202406,5281,3587836.0,679.39
260765,202406,6393,4399515.0,688.28
260770,202406,2997,2011087.0,671.03
260775,202406,5145,3501653.0,680.73
260780,202406,2543,1709907.0,673.46
260790,202406,94309,63788627.0,676.72
260795,202406,2689,1759900.0,654.48
260800,202406,5149,3396369.0,659.62
260805,202406,3055,2082389.0,681.63
260810,202406,5212,3471484.0,666.18
260820,202406,3922,2654936.0,676.93
260825,202406,2314,1590128.0,687.18
260830,202406,3188,2235973.0,702.03
260840,202406,3968,2717366.0,685.34
260845,202406,3489,2328800.0,667.47
260850,202406,3223,2199269.0,682.58
260860,202406,2565,1742489.0,679.33
260870,202406,3609,2438384.0,675.64
260875,202406,5383,3690290.0,687.2
260880,202406,8708,5927679.0,681.11
260890,202406,9087,5913229.0,652.17
260900,202406,3965,2633490.0,664.52
260910,202406,2690,1854092.0,689.51
260915,202406,5204,3595978.0,691.0
260920,202406,2722,1815008.0,666.79
260930,202406,3305,2312642.0,700.16
260940,202406,11432,7605544.0,665.4
260950,202406,4491,2997407.0,667.57
260960,202406,54569,36364035.0,666.5
260970,202406,4056,2766863.0,682.5
260980,202406,4141,2879464.0,695.52
260990,202406,11757,8214083.0,698.65
261000,202406,12567,8372224.0,666.53
261010,202406,1756,1210861.0,690.34
261020,202406,5274,3589447.0,680.59
261030,202406,3219,2183574.0,678.76
261040,202406,3934,2693342.0,684.63
261050,202406,6607,4388492.0,664.22
261060,202406,11697,7938283.0,678.72
261070,202406,44835,30244356.0,674.81
261080,202406,5991,4116181.0,687.4
261090,202406,16012,10621306.0,663.33
261100,202406,6884,4797881.0,696.96
261110,202406,47118,31885545.0,677.35
261120,202406,3126,2118415.0,677.89
261130,202406,6020,4033899.0,670.08
261140,202406,2717,1794789.0,660.58
261150,202406,4311,2925196.0,678.7
261153,202406,1337,914695.0,684.14
261160,202406,146528,98905727.0,675.31
261170,202406,5778,3857868.0,668.14
261180,202406,7122,4778860.0,671.09
261190,202406,3870,2674147.0,690.99
261200,202406,2637,1744099.0,661.4
261210,202406,1427,956895.0,670.56
261220,202406,10254,7059419.0,689.06
261230,202406,3039,2095550.0,689.55
