ibge,anomes,qtd_familias_beneficiarias_bolsa_familia,valor_repassado_bolsa_familia
421740,200609,142,7572.0
421750,200609,415,23334.0
421755,200609,112,7086.0
421760,200609,223,10863.0
421770,200609,826,38311.0
421775,200609,221,12903.0
421780,200609,470,22457.0
421790,200609,215,9981.0
421795,200609,104,6763.0
421800,200609,612,31178.0
421810,200609,278,14828.0
421820,200609,135,7099.0
421825,200609,482,30167.0
421830,200609,855,60351.0
421835,200609,47,2143.0
421840,200609,155,7489.0
421850,200609,127,5342.0
421860,200609,160,7140.0
421870,200609,1596,75028.0
421875,200609,143,7815.0
421880,200609,275,14053.0
421885,200609,132,9012.0
421890,200609,449,25366.0
421895,200609,146,7411.0
421900,200609,372,18378.0
421910,200609,150,9999.0
421915,200609,165,10999.0
421917,200609,171,9101.0
421920,200609,238,10965.0
421930,200609,913,44643.0
421935,200609,205,13571.0
